STT,Stock Code,Organization Name,Sector,First Trading Date,Listing Volume,Stock Volume
189,PMB,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc,"Thương mại và dịch vụ lưu trú, ăn uống",7/10/2015,12.000.000,12.000.000
190,PMC,CTCP Dược phẩm dược liệu Pharmedic,Y tế,9/10/2009,9.332.573,9.332.573
191,PMP,CTCP Bao bì Đạm Phú Mỹ,Công nghiệp,22/9/2015,4.200.000,4.200.000
192,PMS,CTCP Cơ khí xăng dầu,Công nghiệp,8/6/2009,7.227.662,7.201.772
193,POT,CTCP Thiết bị Bưu điện,"Thông tin, truyền thông và các hoạt động khác",20/12/2006,19.430.006,19.430.006
194,PPE,Công Ty Cổ Phần Tư Vấn Đầu Tư PP ENTERPRISE,"Hoạt động chuyên môn, khoa học và công nghệ;hành chính và dịch vụ hỗ trợ",20/9/2011,2.000.000,2.000.000
195,PPP,CTCP Dược phẩm Phong Phú,Y tế,18/7/2011,8.799.991,8.799.991
196,PPS,Công ty cổ phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,Công nghiệp,7/1/2011,15.000.000,15.000.000
197,PPY,CTCP Xăng dầu Dầu khí Phú Yên,"Thương mại và dịch vụ lưu trú, ăn uống",2/3/2016,9.343.974,9.343.974
198,PRC,CTCP Logistics Portserco,Vận tải kho bãi,29/11/2010,1.200.000,1.200.000
199,PRE,Tổng CTCP Tái Bảo hiểm PVI,Tài chính,24/12/2020,72.800.000,72.800.000
200,PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn,"Thương mại và dịch vụ lưu trú, ăn uống",29/12/2006,7.200.000,7.200.000
201,PSD,CTCP Dịch vụ Phân phối Tổng hợp Dầu khí,"Thương mại và dịch vụ lưu trú, ăn uống",28/6/2013,39.887.409,39.887.409
202,PSE,CTCP Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công nghiệp,18/3/2015,12.500.000,12.500.000
203,PSI,Công ty Cổ phần Chứng khoán Dầu khí,Tài chính,21/7/2010,59.841.300,59.841.300
204,PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công nghiệp,21/7/2015,17.000.000,17.000.000
205,PTD,CÔNG TY CỔ PHẦN THIẾT KẾ XÂY DỰNG THƯƠNG MẠI PHÚC THỊNH,Xây dựng,10/11/2015,3.200.000,3.200.000
206,PTI,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM BƯU ĐIỆN,Tài chính,1/3/2011,80.395.709,80.395.709
207,PTS,CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng,"Thương mại và dịch vụ lưu trú, ăn uống",1/12/2006,5.568.000,5.568.000
208,PV2,Công ty cổ phần Đầu tư PV2,Tài chính,16/12/2010,37.350.000,36.868.800
209,PVB,CTCP Bọc Ống Dầu khí Việt Nam,Khai khoáng và Dầu khí,24/12/2013,21.599.998,21.599.998
210,PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP (PVChem),Khai khoáng và Dầu khí,15/11/2007,50.000.000,50.000.000
211,PVG,Công ty cổ phần Kinh doanh LPG Việt Nam,"Thương mại và dịch vụ lưu trú, ăn uống",7/1/2009,36.500.000,36.500.000
212,PVI,CTCP PVI,Tài chính,10/8/2007,234.241.867,234.241.867
213,PVS,Tổng CTCP Dịch Vụ Kỹ Thuật Dầu Khí Việt Nam,Khai khoáng và Dầu khí,20/9/2007,477.966.290,477.966.290
214,QHD,CTCP Que hàn điện Việt Đức,Công nghiệp,22/4/2010,5.524.716,5.524.716
215,QST,CTCP Sách và Thiết bị Trường học Quảng Ninh,"Thương mại và dịch vụ lưu trú, ăn uống",16/2/2009,3.240.000,3.240.000
216,QTC,Công ty Cổ phần Công trình Giao thông Vận tải Quảng Nam,Xây dựng,16/1/2009,2.700.000,2.700.000
217,RCL,Công Ty Cổ Phần Địa ốc Chợ Lớn,Xây dựng,14/6/2007,13.858.714,13.858.714
218,S55,Công ty cổ phần Sông Đà 505,Xây dựng,22/12/2006,10.000.000,10.000.000
219,S99,Công ty cổ phần SCI,Xây dựng,22/12/2006,85.454.000,85.454.000
220,SAF,CTCP Lương thực Thực phẩm SAFOCO,Công nghiệp,8/6/2009,12.046.590,12.046.590
